//0																													
//Oxygen, 1.02
//Nitrate, 1, 1, 0.9, 0
//Nitrate, 2,1,-.9,0
//Nitrate, 3, 1,-0.4, 0
//pH, 1, -0.15, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9094SoOcn	1	C	12/21/2014	12:49				1598.5	0	0.208	0	34.6732	0	27.831	0	219.71	0	61.55	0	33.53	0	0	0	0.000083	0	7.8682	0	7.5914	0
9094SoOcn	1	C	12/21/2014	12:49				1498.56	0	0.2481	0	34.6751	0	27.829	0	216.04	0	60.59	0	33.53	0	0.01	0	0.000082	0	7.8661	0	7.5867	0
9094SoOcn	1	C	12/21/2014	12:49				1399.09	0	0.2927	0	34.6775	0	27.828	0	213.18	0	59.86	0	33.68	0	0	0	0.000083	0	7.8670	0	7.5849	0
9094SoOcn	1	C	12/21/2014	12:49				1299.23	0	0.3378	0	34.679	0	27.826	0	209.92	0	59.01	0	33.81	0	0.01	0	0.000085	0	7.8658	0	7.5811	0
9094SoOcn	1	C	12/21/2014	12:49				1199.4	0	0.3821	0	34.6809	0	27.824	0	208.39	0	58.65	0	33.94	0	0.01	0	0.000085	0	7.8675	0	7.5800	0
9094SoOcn	1	C	12/21/2014	12:49				1099.57	0	0.4263	0	34.6827	0	27.822	0	205.73	0	57.97	0	34.00	0	0.01	0	0.000085	0	7.8672	0	7.5770	0
9094SoOcn	1	C	12/21/2014	12:49				1000.02	0	0.4679	0	34.6844	0	27.82	0	204.20	0	57.60	0	34.14	0	0.01	0	0.000087	0	7.8679	0	7.5750	0
9094SoOcn	1	C	12/21/2014	12:49				950.8	0	0.4909	0	34.6853	0	27.819	0	204.41	0	57.69	0	34.00	0	0	0	0.000085	0	7.8663	0	7.5721	0
9094SoOcn	1	C	12/21/2014	12:49				901.23	0	0.5178	0	34.6861	0	27.818	0	204.20	0	57.68	0	33.92	0	0	0	0.000087	0	7.8675	0	7.5720	0
9094SoOcn	1	C	12/21/2014	12:49				851.35	0	0.5428	0	34.6864	0	27.816	0	203.80	0	57.60	0	34.10	0	0.01	0	0.000085	0	7.8689	0	7.5720	0
9094SoOcn	1	C	12/21/2014	12:49				801.59	0	0.5759	0	34.6882	0	27.815	0	204.00	0	57.71	0	33.88	0	0.01	0	0.000087	0	7.8719	0	7.5736	0
9094SoOcn	1	C	12/21/2014	12:49				751.31	0	0.6159	0	34.6895	0	27.813	0	203.90	0	57.74	0	33.76	0	0.01	0	0.00019	0	7.8750	0	7.5753	0
9094SoOcn	1	C	12/21/2014	12:49				701.11	0	0.6434	0	34.6895	0	27.811	0	203.59	0	57.69	0	33.85	0	0	0	0.000087	0	7.8782	0	7.5769	0
9094SoOcn	1	C	12/21/2014	12:49				650.84	0	0.6928	0	34.6923	0	27.809	0	203.80	0	57.83	0	33.71	0	0.01	0	0.000083	0	7.8817	0	7.5792	0
9094SoOcn	1	C	12/21/2014	12:49				601.55	0	0.7314	0	34.6932	0	27.807	0	203.18	0	57.71	0	33.62	0	0	0	0.000088	0	7.8835	0	7.5798	0
9094SoOcn	1	C	12/21/2014	12:49				551.4	0	0.7706	0	34.6945	0	27.805	0	202.57	0	57.60	0	33.67	0	0.01	0	0.00009	0	7.8844	0	7.5795	0
9094SoOcn	1	C	12/21/2014	12:49				501.58	0	0.8193	0	34.6962	0	27.803	0	202.06	0	57.52	0	33.45	0	0	0	0.00009	0	7.8867	0	7.5806	0
9094SoOcn	1	C	12/21/2014	12:49				450.89	0	0.8626	0	34.6969	0	27.8	0	201.04	0	57.30	0	33.58	0	0.01	0	0.000095	0	7.8873	0	7.5801	0
9094SoOcn	1	C	12/21/2014	12:49				401.52	0	0.9263	0	34.6987	0	27.796	0	200.12	0	57.13	0	33.67	0	0.01	0	0.000088	0	7.8877	0	7.5797	0
9094SoOcn	1	C	12/21/2014	12:49				380.98	0	0.9464	0	34.6989	0	27.795	0	199.72	0	57.04	0	33.44	0	0.01	0	0.00009	0	7.8885	0	7.5800	0
9094SoOcn	1	C	12/21/2014	12:49				360.98	0	0.9676	0	34.6992	0	27.793	0	199.31	0	56.96	0	33.47	0	0.01	0	0.000093	0	7.8889	0	7.5800	0
9094SoOcn	1	C	12/21/2014	12:49				351.17	0	0.9796	0	34.6991	0	27.792	0	199.00	0	56.89	0	33.53	0	0.01	0	0.000087	0	7.8882	0	7.5792	0
9094SoOcn	1	C	12/21/2014	12:49				341.38	0	0.9874	0	34.6996	0	27.792	0	198.80	0	56.84	0	33.62	0	0	0	0.000085	0	7.8881	0	7.5789	0
9094SoOcn	1	C	12/21/2014	12:49				331.29	0	0.999	0	34.6991	0	27.79	0	198.59	0	56.80	0	33.64	0	0.01	0	0.00009	0	7.8885	0	7.5791	0
9094SoOcn	1	C	12/21/2014	12:49				318.9	0	1.016	0	34.6992	0	27.789	0	198.19	0	56.71	0	33.50	0	0	0	0.000088	0	7.8877	0	7.5782	0
9094SoOcn	1	C	12/21/2014	12:49				309.63	0	1.028	0	34.699	0	27.788	0	198.59	0	56.84	0	33.79	0	0.01	0	0.000088	0	7.8871	0	7.5775	0
9094SoOcn	1	C	12/21/2014	12:49				300.87	0	1.0426	0	34.6989	0	27.787	0	197.68	0	56.60	0	33.65	0	0.01	0	0.000115	0	7.8879	0	7.5781	0
9094SoOcn	1	C	12/21/2014	12:49				290.96	0	1.0516	0	34.6982	0	27.785	0	198.19	0	56.76	0	33.57	0	0.01	0	0.000092	0	7.8883	0	7.5783	0
9094SoOcn	1	C	12/21/2014	12:49				281.42	0	1.0656	0	34.6986	0	27.785	0	197.68	0	56.64	0	33.53	0	0.01	0	0.000092	0	7.8887	0	7.5786	0
9094SoOcn	1	C	12/21/2014	12:49				270.86	0	1.0743	0	34.6983	0	27.784	0	198.08	0	56.77	0	33.65	0	0	0	0.000093	0	7.8888	0	7.5784	0
9094SoOcn	1	C	12/21/2014	12:49				261.25	0	1.0739	0	34.6969	0	27.783	0	197.06	0	56.47	0	33.71	0	0.01	0	0.00009	0	7.8866	0	7.5761	0
9094SoOcn	1	C	12/21/2014	12:49				251.02	0	1.0915	0	34.6962	0	27.781	0	197.37	0	56.58	0	33.66	0	0	0	0.000088	0	7.8861	0	7.5755	0
9094SoOcn	1	C	12/21/2014	12:49				240.9	0	1.088	0	34.6947	0	27.78	0	196.45	0	56.32	0	33.92	0	0	0	0.000088	0	7.8853	0	7.5744	0
9094SoOcn	1	C	12/21/2014	12:49				231.68	0	1.0901	0	34.6941	0	27.779	0	196.86	0	56.44	0	33.90	0	0.01	0	0.000088	0	7.8839	0	7.5728	0
9094SoOcn	1	C	12/21/2014	12:49				221.01	0	1.1084	0	34.6934	0	27.777	0	195.53	0	56.08	0	34.04	0	0	0	0.000088	0	7.8825	0	7.5715	0
9094SoOcn	1	C	12/21/2014	12:49				211.47	0	1.1101	0	34.6922	0	27.776	0	195.84	0	56.17	0	34.00	0	0	0	0.000092	0	7.8834	0	7.5720	0
9094SoOcn	1	C	12/21/2014	12:49				200.93	0	1.1137	0	34.6905	0	27.774	0	194.82	0	55.88	0	33.93	0	0	0	0.000095	0	7.8819	0	7.5703	0
9094SoOcn	1	C	12/21/2014	12:49				190.87	0	1.1228	0	34.69	0	27.773	0	195.23	0	56.01	0	34.03	0	0.01	0	0.000087	0	7.8807	0	7.5690	0
9094SoOcn	1	C	12/21/2014	12:49				181.08	0	1.1366	0	34.689	0	27.771	0	194.62	0	55.86	0	34.12	0	0.01	0	0.000088	0	7.8806	0	7.5688	0
9094SoOcn	1	C	12/21/2014	12:49				171.38	0	1.1352	0	34.6875	0	27.77	0	193.70	0	55.59	0	34.16	0	0.01	0	0.000088	0	7.8793	0	7.5672	0
9094SoOcn	1	C	12/21/2014	12:49				161.3	0	1.1395	0	34.6852	0	27.768	0	193.29	0	55.48	0	34.03	0	0	0	0.000092	0	7.8774	0	7.5652	0
9094SoOcn	1	C	12/21/2014	12:49				148.76	0	1.1404	0	34.6825	0	27.765	0	192.98	0	55.39	0	34.20	0	0	0	0.00009	0	7.8787	0	7.5660	0
9094SoOcn	1	C	12/21/2014	12:49				139.23	0	1.1507	0	34.6818	0	27.764	0	193.49	0	55.55	0	34.19	0	0.01	0	0.000093	0	7.8764	0	7.5637	0
9094SoOcn	1	C	12/21/2014	12:49				131.26	0	1.1581	0	34.6797	0	27.762	0	192.88	0	55.39	0	34.42	0	0.01	0	0.00009	0	7.8753	0	7.5626	0
9094SoOcn	1	C	12/21/2014	12:49				120.63	0	1.1432	0	34.6767	0	27.76	0	192.58	0	55.28	0	34.58	0	0.01	0	0.000092	0	7.8722	0	7.5592	0
9094SoOcn	1	C	12/21/2014	12:49				111.55	0	1.0873	0	34.6694	0	27.759	0	192.68	0	55.22	0	34.66	0	0.03	0	0.000092	0	7.8716	0	7.5576	0
9094SoOcn	1	C	12/21/2014	12:49				101.3	0	1.0597	0	34.6642	0	27.757	0	192.17	0	55.04	0	34.60	0	0.05	0	0.000092	0	7.8726	0	7.5578	0
9094SoOcn	1	C	12/21/2014	12:49				93.38	0	1.0361	0	34.6604	0	27.756	0	193.09	0	55.26	0	34.69	0	0.12	0	0.000095	0	7.8719	0	7.5566	0
9094SoOcn	1	C	12/21/2014	12:49				85.25	0	0.9807	0	34.6536	0	27.755	0	193.39	0	55.27	0	34.74	0	0.21	0	0.000097	0	7.8746	0	7.5580	0
9094SoOcn	1	C	12/21/2014	12:49				77.52	0	0.8951	0	34.6445	0	27.755	0	195.53	0	55.76	0	34.81	0	0.18	0	0.000108	0	7.8748	0	7.5568	0
9094SoOcn	1	C	12/21/2014	12:49				70.24	0	0.7769	0	34.6293	0	27.752	0	197.37	0	56.10	0	33.81	0	0.35	0	0.000108	0	7.8991	0	7.5772	0
9094SoOcn	1	C	12/21/2014	12:49				63.36	0	-0.1489	0	34.5107	0	27.725	0	216.85	0	60.11	0	32.48	0	0.5	0	0.000117	0	7.9357	0	7.5980	0
9094SoOcn	1	C	12/21/2014	12:49				57.09	0	-1.4092	0	34.3723	0	27.696	0	250.41	0	67.05	0	32.28	0	0.45	0	0.000125	0	7.9622	0	7.6052	0
9094SoOcn	1	C	12/21/2014	12:49				51.82	0	-1.6536	0	34.2137	0	27.583	0	264.18	0	70.20	0	32.59	0	0.78	0	0.000155	0	7.9708	0	7.6096	0
9094SoOcn	1	C	12/21/2014	12:49				47.25	0	-1.7742	0	34.1441	0	27.534	0	273.56	0	72.42	0	32.49	0	0.7	0	0.000157	0	7.9731	0	7.6099	0
9094SoOcn	1	C	12/21/2014	12:49				42.08	0	-1.7738	0	34.135	0	27.526	0	276.52	0	73.19	0	32.62	0	0.62	0	0.000155	0	7.9733	0	7.6099	0
9094SoOcn	1	C	12/21/2014	12:49				36.07	0	-1.7774	0	34.0041	0	27.421	0	282.64	0	74.74	0	32.16	0	0.78	0	0.000188	0	7.9860	0	7.6213	0
9094SoOcn	1	C	12/21/2014	12:49				30.9	0	-1.7807	0	33.9709	0	27.395	0	287.33	0	75.95	0	31.96	0	0.68	0	0.000173	0	7.9882	0	7.6231	0
9094SoOcn	1	C	12/21/2014	12:49				25.63	0	-1.7758	0	33.9651	0	27.39	0	289.99	0	76.66	0	31.90	0	0.58	0	0.000172	0	7.9888	0	7.6236	0
9094SoOcn	1	C	12/21/2014	12:49				20.19	0	-1.7621	0	33.9269	0	27.359	0	292.74	0	77.40	0	31.85	0	0.64	0	0.000173	0	7.9942	0	7.6285	0
9094SoOcn	1	C	12/21/2014	12:49				14.68	0	-1.7531	0	33.8776	0	27.318	0	295.09	0	78.01	0	31.65	0	0.53	0	0.000198	0	7.9968	0	7.6308	0
9094SoOcn	1	C	12/21/2014	12:49				8.56	0	-1.7388	0	33.8588	0	27.303	0	297.43	0	78.65	0	31.68	0	0.26	0	0.00018	0	8.0000	0	7.6337	0
9094SoOcn	1	C	12/21/2014	12:49																									
9094SoOcn	2	C	12/31/2014	22:24				1697.14	0	0.1674	0	34.6729	0	27.834	0	217.16	0	60.77	0	33.28	0	0	0	0.000082	0	7.8826	0	7.6073	0
9094SoOcn	2	C	12/31/2014	22:24				1598.96	0	0.201	0	34.6746	0	27.832	0	216.75	0	60.71	0	33.29	0	0	0	0.000082	0	7.8847	0	7.6064	0
9094SoOcn	2	C	12/31/2014	22:24				1498.58	0	0.2455	0	34.6765	0	27.831	0	214.30	0	60.10	0	33.49	0	0	0	0.000083	0	7.8837	0	7.6028	0
9094SoOcn	2	C	12/31/2014	22:24				1399.45	0	0.289	0	34.6783	0	27.829	0	211.96	0	59.51	0	33.68	0	0	0	0.000083	0	7.8847	0	7.6010	0
9094SoOcn	2	C	12/31/2014	22:24				1298.85	0	0.3309	0	34.6805	0	27.828	0	209.61	0	58.91	0	33.70	0	0	0	0.000087	0	7.8846	0	7.5982	0
9094SoOcn	2	C	12/31/2014	22:24				1199.42	0	0.3729	0	34.6824	0	27.826	0	208.18	0	58.58	0	33.81	0	0	0	0.000083	0	7.8866	0	7.5974	0
9094SoOcn	2	C	12/31/2014	22:24				1098.69	0	0.4242	0	34.6841	0	27.823	0	206.86	0	58.28	0	33.74	0	0.01	0	0.000085	0	7.8881	0	7.5961	0
9094SoOcn	2	C	12/31/2014	22:24				999.41	0	0.464	0	34.6852	0	27.821	0	204.61	0	57.71	0	33.92	0	0.01	0	0.000088	0	7.8884	0	7.5937	0
9094SoOcn	2	C	12/31/2014	22:24				951.34	0	0.4858	0	34.6865	0	27.821	0	204.51	0	57.71	0	33.88	0	0	0	0.000087	0	7.8880	0	7.5920	0
9094SoOcn	2	C	12/31/2014	22:24				901.62	0	0.5091	0	34.6872	0	27.819	0	204.00	0	57.61	0	34.05	0	0	0	0.000085	0	7.8884	0	7.5911	0
9094SoOcn	2	C	12/31/2014	22:24				851.21	0	0.5361	0	34.6873	0	27.817	0	203.80	0	57.59	0	33.99	0	0	0	0.000088	0	7.8873	0	7.5888	0
9094SoOcn	2	C	12/31/2014	22:24				801.48	0	0.5683	0	34.6887	0	27.816	0	203.39	0	57.52	0	33.86	0	0.01	0	0.000087	0	7.8927	0	7.5925	0
9094SoOcn	2	C	12/31/2014	22:24				751.74	0	0.6092	0	34.6912	0	27.815	0	203.59	0	57.64	0	33.88	0	0.01	0	0.000085	0	7.8946	0	7.5932	0
9094SoOcn	2	C	12/31/2014	22:24				701.18	0	0.6435	0	34.6915	0	27.813	0	203.08	0	57.55	0	33.69	0	0.01	0	0.000085	0	7.8949	0	7.5923	0
9094SoOcn	2	C	12/31/2014	22:24				651.61	0	0.6891	0	34.6936	0	27.811	0	203.59	0	57.76	0	33.68	0	0.01	0	0.000088	0	7.9007	0	7.5966	0
9094SoOcn	2	C	12/31/2014	22:24				601.37	0	0.7236	0	34.6941	0	27.808	0	202.57	0	57.53	0	33.56	0	0.01	0	0.000088	0	7.9017	0	7.5963	0
9094SoOcn	2	C	12/31/2014	22:24				549.17	0	0.7782	0	34.6972	0	27.807	0	202.47	0	57.58	0	33.54	0	-0.01	0	0.000087	0	7.9038	0	7.5972	0
9094SoOcn	2	C	12/31/2014	22:24				500.76	0	0.8179	0	34.6973	0	27.804	0	201.76	0	57.44	0	33.56	0	0.01	0	0.000087	0	7.9059	0	7.5981	0
9094SoOcn	2	C	12/31/2014	22:24				451.46	0	0.8692	0	34.6984	0	27.8	0	201.25	0	57.37	0	33.62	0	0.01	0	0.000088	0	7.9070	0	7.5982	0
9094SoOcn	2	C	12/31/2014	22:24				401.33	0	0.9207	0	34.6989	0	27.797	0	200.74	0	57.30	0	33.49	0	0.01	0	0.00009	0	7.9075	0	7.5977	0
9094SoOcn	2	C	12/31/2014	22:24				381.27	0	0.9365	0	34.6992	0	27.796	0	200.23	0	57.18	0	33.60	0	0.01	0	0.000088	0	7.9078	0	7.5975	0
9094SoOcn	2	C	12/31/2014	22:24				361.4	0	0.958	0	34.6996	0	27.794	0	199.82	0	57.09	0	33.52	0	0.01	0	0.00009	0	7.9065	0	7.5960	0
9094SoOcn	2	C	12/31/2014	22:24				351.18	0	0.9705	0	34.6998	0	27.793	0	199.72	0	57.08	0	33.74	0	0	0	0.000092	0	7.9070	0	7.5963	0
9094SoOcn	2	C	12/31/2014	22:24				341.43	0	0.9845	0	34.6995	0	27.792	0	199.61	0	57.07	0	33.55	0	0.01	0	0.000088	0	7.9064	0	7.5956	0
9094SoOcn	2	C	12/31/2014	22:24				330.7	0	0.9973	0	34.6997	0	27.791	0	199.41	0	57.03	0	33.63	0	0	0	0.000093	0	7.9062	0	7.5953	0
9094SoOcn	2	C	12/31/2014	22:24				320.96	0	1.0052	0	34.6999	0	27.791	0	198.59	0	56.81	0	33.73	0	0	0	0.00009	0	7.9048	0	7.5938	0
9094SoOcn	2	C	12/31/2014	22:24				310.75	0	1.0134	0	34.6997	0	27.79	0	198.29	0	56.74	0	33.74	0	0.01	0	0.000088	0	7.9048	0	7.5935	0
9094SoOcn	2	C	12/31/2014	22:24				300.85	0	1.0073	0	34.6976	0	27.789	0	198.59	0	56.81	0	33.74	0	0.01	0	0.00009	0	7.9062	0	7.5945	0
9094SoOcn	2	C	12/31/2014	22:24				290.93	0	1.0214	0	34.6973	0	27.787	0	198.49	0	56.80	0	33.69	0	0.01	0	0.000093	0	7.9060	0	7.5941	0
9094SoOcn	2	C	12/31/2014	22:24				281.52	0	1.0346	0	34.6978	0	27.786	0	198.19	0	56.74	0	33.82	0	0.01	0	0.000095	0	7.9050	0	7.5930	0
9094SoOcn	2	C	12/31/2014	22:24				271.35	0	1.0508	0	34.6977	0	27.785	0	197.27	0	56.50	0	33.69	0	0	0	0.00009	0	7.9044	0	7.5924	0
9094SoOcn	2	C	12/31/2014	22:24				261.26	0	1.0638	0	34.6969	0	27.783	0	197.06	0	56.46	0	33.89	0	0	0	0.00009	0	7.9042	0	7.5921	0
9094SoOcn	2	C	12/31/2014	22:24				251.73	0	1.074	0	34.6962	0	27.782	0	196.76	0	56.38	0	33.73	0	0.01	0	0.000088	0	7.9037	0	7.5914	0
9094SoOcn	2	C	12/31/2014	22:24				241.72	0	1.0905	0	34.696	0	27.78	0	196.15	0	56.23	0	33.80	0	0.01	0	0.00009	0	7.9033	0	7.5910	0
9094SoOcn	2	C	12/31/2014	22:24				229.8	0	1.1004	0	34.6951	0	27.779	0	195.74	0	56.13	0	34.06	0	0.01	0	0.00009	0	7.9026	0	7.5901	0
9094SoOcn	2	C	12/31/2014	22:24				220.87	0	1.1102	0	34.695	0	27.778	0	196.15	0	56.26	0	33.94	0	0	0	0.000095	0	7.9039	0	7.5911	0
9094SoOcn	2	C	12/31/2014	22:24				210.97	0	1.1106	0	34.6934	0	27.777	0	195.64	0	56.11	0	34.02	0	0.01	0	0.00009	0	7.9020	0	7.5891	0
9094SoOcn	2	C	12/31/2014	22:24				201.03	0	1.1189	0	34.6928	0	27.776	0	195.64	0	56.13	0	34.17	0	0.01	0	0.00009	0	7.8992	0	7.5863	0
9094SoOcn	2	C	12/31/2014	22:24				191.41	0	1.1273	0	34.692	0	27.774	0	194.82	0	55.90	0	34.13	0	0.01	0	0.000092	0	7.8988	0	7.5856	0
9094SoOcn	2	C	12/31/2014	22:24				180.96	0	1.1301	0	34.6905	0	27.773	0	193.90	0	55.64	0	33.98	0	0	0	0.00009	0	7.8975	0	7.5842	0
9094SoOcn	2	C	12/31/2014	22:24				171.45	0	1.1324	0	34.6884	0	27.771	0	194.00	0	55.68	0	34.34	0	0	0	0.00009	0	7.8952	0	7.5818	0
9094SoOcn	2	C	12/31/2014	22:24				161.25	0	1.1332	0	34.6864	0	27.769	0	192.98	0	55.38	0	34.27	0	0.01	0	0.000088	0	7.8948	0	7.5811	0
9094SoOcn	2	C	12/31/2014	22:24				151.25	0	1.1326	0	34.6839	0	27.767	0	192.78	0	55.32	0	34.34	0	0.01	0	0.000092	0	7.8948	0	7.5808	0
9094SoOcn	2	C	12/31/2014	22:24				141.19	0	1.1412	0	34.6823	0	27.765	0	192.68	0	55.31	0	34.41	0	0.01	0	0.000092	0	7.8949	0	7.5806	0
9094SoOcn	2	C	12/31/2014	22:24				131.47	0	1.1372	0	34.6795	0	27.763	0	192.58	0	55.27	0	34.44	0	0.01	0	0.000092	0	7.8937	0	7.5791	0
9094SoOcn	2	C	12/31/2014	22:24				121.15	0	1.1374	0	34.6761	0	27.76	0	192.47	0	55.24	0	34.49	0	0.03	0	0.000092	0	7.8916	0	7.5769	0
9094SoOcn	2	C	12/31/2014	22:24				111.75	0	1.1163	0	34.6717	0	27.759	0	192.47	0	55.21	0	34.55	0	0.05	0	0.000128	0	7.8911	0	7.5759	0
9094SoOcn	2	C	12/31/2014	22:24				101.03	0	1.0533	0	34.6625	0	27.756	0	192.78	0	55.20	0	34.78	0	0.13	0	0.000095	0	7.8899	0	7.5736	0
9094SoOcn	2	C	12/31/2014	22:24				94.99	0	0.9929	0	34.6526	0	27.753	0	193.70	0	55.37	0	34.66	0	0.19	0	0.000105	0	7.8912	0	7.5738	0
9094SoOcn	2	C	12/31/2014	22:24				88.87	0	0.9666	0	34.6537	0	27.756	0	194.11	0	55.45	0	34.61	0	0.23	0	0.000103	0	7.8919	0	7.5738	0
9094SoOcn	2	C	12/31/2014	22:24				83.05	0	0.9207	0	34.6477	0	27.755	0	194.92	0	55.62	0	34.86	0	0.3	0	0.000107	0	7.8923	0	7.5734	0
9094SoOcn	2	C	12/31/2014	22:24				77.34	0	0.8131	0	34.6364	0	27.755	0	196.96	0	56.04	0	34.57	0	0.37	0	0.000113	0	7.8996	0	7.5784	0
9094SoOcn	2	C	12/31/2014	22:24				71.81	0	0.4193	0	34.5776	0	27.738	0	203.49	0	57.28	0	33.87	0	0.53	0	0.000123	0	7.9202	0	7.5918	0
9094SoOcn	2	C	12/31/2014	22:24				66.56	0	-0.1014	0	34.5191	0	27.729	0	219.10	0	60.82	0	33.40	0	0.73	0	0.00014	0	7.9439	0	7.6063	0
9094SoOcn	2	C	12/31/2014	22:24				62.14	0	-1.1177	0	34.4093	0	27.708	0	240.21	0	64.85	0	32.46	0	0.85	0	0.000155	0	7.9733	0	7.6193	0
9094SoOcn	2	C	12/31/2014	22:24				58.62	0	-1.3068	0	34.3414	0	27.665	0	257.24	0	69.06	0	32.58	0	1.73	0	0.00017	0	7.9757	0	7.6189	0
9094SoOcn	2	C	12/31/2014	22:24				56.11	0	-1.3659	0	34.3123	0	27.645	0	262.34	0	70.30	0	32.58	0	1.4	0	0.000207	0	7.9806	0	7.6225	0
9094SoOcn	2	C	12/31/2014	22:24				51.83	0	-1.6429	0	34.2001	0	27.571	0	271.12	0	72.05	0	32.20	0	1.11	0	0.00018	0	7.9866	0	7.6242	0
9094SoOcn	2	C	12/31/2014	22:24				46.48	0	-1.7429	0	34.1451	0	27.533	0	277.24	0	73.45	0	32.46	0	1.89	0	0.000285	0	7.9917	0	7.6274	0
9094SoOcn	2	C	12/31/2014	22:24				41.34	0	-1.7322	0	34.0677	0	27.47	0	281.32	0	74.51	0	31.93	0	1.14	0	0.000187	0	8.0018	0	7.6366	0
9094SoOcn	2	C	12/31/2014	22:24				36.85	0	-1.7333	0	33.9902	0	27.408	0	287.74	0	76.17	0	31.94	0	1.31	0	0.000217	0	8.0065	0	7.6407	0
9094SoOcn	2	C	12/31/2014	22:24				31.47	0	-1.7249	0	33.9698	0	27.391	0	292.33	0	77.39	0	31.62	0	1.15	0	0.000213	0	8.0103	0	7.6441	0
9094SoOcn	2	C	12/31/2014	22:24				26.31	0	-1.7105	0	33.9078	0	27.34	0	295.39	0	78.20	0	31.49	0	1.15	0	0.000198	0	8.0149	0	7.6484	0
9094SoOcn	2	C	12/31/2014	22:24				21.42	0	-1.6698	0	33.8768	0	27.313	0	301.00	0	79.76	0	31.45	0	0.89	0	0.000193	0	8.0169	0	7.6506	0
9094SoOcn	2	C	12/31/2014	22:24				16.88	0	-1.6605	0	33.868	0	27.305	0	302.23	0	80.09	0	31.29	0	0.9	0	0.000202	0	8.0219	0	7.6552	0
9094SoOcn	2	C	12/31/2014	22:24				11.88	0	-1.614	0	33.5553	0	27.052	0	315.59	0	83.56	0	30.71	0	1.04	0	0.000208	0	8.0299	0	7.6629	0
9094SoOcn	2	C	12/31/2014	22:24				7.49	0	-1.6041	0	33.5284	0	27.029	0	319.97	0	84.73	0	30.65	0	1.03	0	0.000308	0	8.0330	0	7.6657	0
9094SoOcn	2	C	12/31/2014	22:24																									
9094SoOcn	3	C	1/11/2015	4:36	359.965	-66.947		1698.37	0	0.1725	0	34.6739	0	27.834	0	215.93	0	60.44	0	33.27	0	0	0	0.000085	0	7.8825	0	7.6073	0
9094SoOcn	3	C	1/11/2015	4:36	359.965	-66.947		1598.54	0	0.2126	0	34.6755	0	27.832	0	214.71	0	60.16	0	33.16	0	0.01	0	0.000083	0	7.8831	0	7.6051	0
9094SoOcn	3	C	1/11/2015	4:36	359.965	-66.947		1499.41	0	0.2565	0	34.6778	0	27.831	0	211.04	0	59.20	0	33.51	0	0	0	0.000085	0	7.8805	0	7.6001	0
9094SoOcn	3	C	1/11/2015	4:36	359.965	-66.947		1399.57	0	0.2999	0	34.6792	0	27.829	0	211.34	0	59.35	0	33.35	0	0	0	0.000085	0	7.8855	0	7.6020	0
9094SoOcn	3	C	1/11/2015	4:36	359.965	-66.947		1298.83	0	0.3395	0	34.6815	0	27.828	0	209.10	0	58.78	0	33.64	0	0.01	0	0.000085	0	7.8876	0	7.6011	0
9094SoOcn	3	C	1/11/2015	4:36	359.965	-66.947		1198.58	0	0.3782	0	34.683	0	27.826	0	207.47	0	58.38	0	33.68	0	0.01	0	0.000085	0	7.8869	0	7.5977	0
9094SoOcn	3	C	1/11/2015	4:36	359.965	-66.947		1099.44	0	0.4218	0	34.6845	0	27.824	0	207.16	0	58.36	0	33.51	0	0.01	0	0.000085	0	7.8909	0	7.5987	0
9094SoOcn	3	C	1/11/2015	4:36	359.965	-66.947		999.16	0	0.4702	0	34.6862	0	27.822	0	205.94	0	58.09	0	33.52	0	0	0	0.000085	0	7.8951	0	7.5999	0
9094SoOcn	3	C	1/11/2015	4:36	359.965	-66.947		951.54	0	0.4902	0	34.6868	0	27.821	0	204.61	0	57.75	0	33.52	0	0	0	0.000088	0	7.8908	0	7.5947	0
9094SoOcn	3	C	1/11/2015	4:36	359.965	-66.947		901.23	0	0.512	0	34.6869	0	27.819	0	203.08	0	57.35	0	33.66	0	0	0	0.000087	0	7.8907	0	7.5932	0
9094SoOcn	3	C	1/11/2015	4:36	359.965	-66.947		851.62	0	0.5426	0	34.6886	0	27.818	0	204.20	0	57.71	0	33.69	0	0.01	0	0.000088	0	7.8950	0	7.5959	0
9094SoOcn	3	C	1/11/2015	4:36	359.965	-66.947		801.52	0	0.5704	0	34.6896	0	27.817	0	203.59	0	57.58	0	33.66	0	0.01	0	0.000087	0	7.8959	0	7.5955	0
9094SoOcn	3	C	1/11/2015	4:36	359.965	-66.947		751.46	0	0.6023	0	34.6905	0	27.815	0	203.29	0	57.55	0	33.58	0	0.01	0	0.000085	0	7.8985	0	7.5966	0
9094SoOcn	3	C	1/11/2015	4:36	359.965	-66.947		700.87	0	0.6424	0	34.6926	0	27.814	0	203.39	0	57.64	0	33.52	0	0.01	0	0.000088	0	7.9013	0	7.5981	0
9094SoOcn	3	C	1/11/2015	4:36	359.965	-66.947		651.2	0	0.6759	0	34.6932	0	27.811	0	203.18	0	57.63	0	33.57	0	0	0	0.000087	0	7.9022	0	7.5978	0
